,userId,mood,recommendations,feedbacks,number of recs
23,23,Anger,['Ninja Scroll (Jûbei ninpûchô) (1995)'],['Perfect'],1
24,24,Disgust,"['Sommersby (1993)', 'Throw Momma from the Train (1987)', 'Starman (1984)', 'Ladykillers, The (2004)', 'Cops and Robbersons (1994)', 'Licence to Kill (1989)', '25th Hour (2002)']","['Dislike', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Perfect']",7
25,25,Fear,['All About Eve (1950)'],['Perfect'],1
26,26,Disgust,"['Snakes on a Plane (2006)', 'Substitute, The (1996)', 'Sin City (2005)']","['Like', 'Like', 'Perfect']",3
27,27,Fear,"['Jackal, The (1997)', 'Drop Dead Gorgeous (1999)', 'Exorcist, The (1973)']","['Like', 'Like', 'Perfect']",3
28,28,Fear,"['Haunted Mansion, The (2003)', 'Enemy at the Gates (2001)']","['Dislike', 'Perfect']",2
29,29,Fear,"['Sabrina (1954)', 'It Could Happen to You (1994)', 'Fried Green Tomatoes (1991)', 'World War Z (2013)', 'Police Academy 2: Their First Assignment (1985)', 'Network (1976)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Perfect']",6
30,30,Fear,['Secretary (2002)'],['Perfect'],1
31,31,Disgust,"[""Dr. Horrible's Sing-Along Blog (2008)""]",['Perfect'],1
32,32,Disgust,"[""Nobody's Fool (1994)"", 'Powder (1995)', 'Die Hard 2 (1990)', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)']","['Like', 'Like', 'Like', 'Perfect']",4
33,33,Anger,"['Fantastic Beasts and Where to Find Them (2016)', 'Black Hawk Down (2001)', 'Uncle Buck (1989)', 'Frequency (2000)', 'Yellow Submarine (1968)', 'Boondock Saints, The (2000)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",6
34,34,Fear,"['Outlaw Josey Wales, The (1976)']",['Perfect'],1
35,35,Anger,"['27 Dresses (2008)', 'Troy (2004)', 'New Guy, The (2002)', 'Orange County (2002)', '2001: A Space Odyssey (1968)']","['Like', 'Like', 'Dislike', 'Like', 'Perfect']",5
36,36,Joy,"['Teaching Mrs. Tingle (1999)', 'Beavis and Butt-Head Do America (1996)', 'Darjeeling Limited, The (2007)', 'Idle Hands (1999)', '21 Grams (2003)', 'Short Circuit (1986)', 'Dances with Wolves (1990)', 'Man on the Moon (1999)', 'Sum of All Fears, The (2002)', 'Boyhood (2014)']","['Dislike', 'Dislike', 'Like', 'Dislike', 'Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",10
37,37,Anger,"['Apple Dumpling Gang, The (1975)', 'Blast from the Past (1999)', 'Mortal Kombat (1995)', 'Solaris (Solyaris) (1972)']","['Dislike', 'Like', 'Like', 'Perfect']",4
38,38,Disgust,"['Towering Inferno, The (1974)', 'Bonnie and Clyde (1967)']","['Like', 'Perfect']",2
39,39,Disgust,"['Rocketeer, The (1991)', 'Network (1976)']","['Like', 'Perfect']",2
40,40,Joy,"['Captain America: The Winter Soldier (2014)', 'Honey, I Shrunk the Kids (1989)', 'Jingle All the Way (1996)', 'Rear Window (1954)']","['Like', 'Dislike', 'Like', 'Perfect']",4
41,41,Joy,"['Awakenings (1990)', 'Three Colors: White (Trzy kolory: Bialy) (1994)']","['Like', 'Perfect']",2
42,42,Anger,"['Ant-Man (2015)', 'Saving Private Ryan (1998)']","['Like', 'Perfect']",2
43,43,Disgust,['Apollo 13 (1995)'],['Perfect'],1
44,44,Fear,"['Wild Wild West (1999)', 'Waterboy, The (1998)', 'Big Blue, The (Grand bleu, Le) (1988)', 'Saint, The (1997)', 'Whole Nine Yards, The (2000)', 'Sandlot, The (1993)', 'Contagion (2011)', 'Rush Hour (1998)', 'WALL·E (2008)', 'Fall, The (2006)']","['Dislike', 'Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",10
45,45,Fear,"['Rise of the Guardians (2012)', 'Entrapment (1999)', 'Reservoir Dogs (1992)']","['Like', 'Like', 'Perfect']",3
46,46,Fear,"['P.S. I Love You (2007)', 'Poltergeist (1982)', 'Small Time Crooks (2000)', 'Mickey Blue Eyes (1999)', 'Amistad (1997)', 'Enemy of the State (1998)', 'Midnight Cowboy (1969)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",7
47,47,Sadness,['Cyrano de Bergerac (1990)'],['Perfect'],1
48,48,Disgust,"['Player, The (1992)']",['Perfect'],1
49,49,Disgust,"['Serious Man, A (2009)', 'The Hateful Eight (2015)', 'Mean Girls (2004)', 'Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)']","['Dislike', 'Like', 'Like', 'Perfect']",4
50,50,Disgust,"['Escape to Witch Mountain (1975)', 'Swimming with Sharks (1995)', 'Prestige, The (2006)', 'Blazing Saddles (1974)']","['Dislike', 'Like', 'Like', 'Perfect']",4
51,51,Anger,"['Few Good Men, A (1992)']",['Perfect'],1
52,52,Fear,"['Planet of the Apes (1968)', 'Good Will Hunting (1997)']","['Like', 'Perfect']",2
53,53,Sadness,"['Footloose (1984)', 'Wall Street (1987)']","['Like', 'Perfect']",2
54,54,Anger,['Avengers: Infinity War - Part I (2018)'],['Perfect'],1
55,55,Sadness,"['Living Daylights, The (1987)', 'Girl Next Door, The (2004)', 'Fly II, The (1989)', 'M*A*S*H (a.k.a. MASH) (1970)']","['Like', 'Like', 'Dislike', 'Perfect']",4
56,56,Sadness,"['Fox and the Hound, The (1981)', 'Mercury Rising (1998)', 'Dead Again (1991)', 'Constantine (2005)', '21 Jump Street (2012)']","['Like', 'Like', 'Like', 'Like', 'Perfect']",5
57,57,Disgust,"['Jingle All the Way (1996)', 'Harry Potter and the Chamber of Secrets (2002)']","['Like', 'Perfect']",2
58,58,Sadness,"['Birds, The (1963)', 'Avengers: Age of Ultron (2015)', '39 Steps, The (1935)']","['Like', 'Like', 'Perfect']",3
59,59,Joy,"['Buffy the Vampire Slayer (1992)', ""Bridget Jones's Diary (2001)""]","['Dislike', 'Perfect']",2
60,60,Disgust,"['Fish Called Wanda, A (1988)']",['Perfect'],1
61,61,Disgust,"['Babe (1995)', 'Mrs. Doubtfire (1993)', 'Terminator Genisys (2015)', 'Monsters, Inc. (2001)']","['Like', 'Like', 'Dislike', 'Perfect']",4
62,62,Sadness,['Three Days of the Condor (3 Days of the Condor) (1975)'],['Perfect'],1
63,63,Fear,['X2: X-Men United (2003)'],['Perfect'],1
64,64,Joy,"['Lost in Space (1998)', 'Unleashed (Danny the Dog) (2005)', 'My Fair Lady (1964)']","['Dislike', 'Like', 'Perfect']",3
65,65,Sadness,"['Reign of Fire (2002)', 'Harold and Kumar Go to White Castle (2004)', 'Godfather, The (1972)']","['Like', 'Like', 'Perfect']",3
66,66,Anger,"['27 Dresses (2008)', 'Terms of Endearment (1983)', 'Inglourious Basterds (2009)']","['Like', 'Like', 'Perfect']",3
67,67,Anger,['Pulp Fiction (1994)'],['Perfect'],1
68,68,Fear,"['Frighteners, The (1996)', 'Waking Life (2001)']","['Like', 'Perfect']",2
69,69,Anger,['The Martian (2015)'],['Perfect'],1
70,70,Sadness,"['One Fine Day (1996)', 'Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)', 'K-PAX (2001)', 'Casino Royale (2006)']","['Like', 'Dislike', 'Like', 'Perfect']",4
71,71,Fear,"['Whole Nine Yards, The (2000)', 'Eragon (2006)', 'Drop Dead Gorgeous (1999)', 'Secret of Roan Inish, The (1994)']","['Like', 'Dislike', 'Like', 'Perfect']",4
72,72,Joy,"['Superman II (1980)', 'Emma (1996)', 'Brüno (Bruno) (2009)', 'Strange Days (1995)', '12 Years a Slave (2013)']","['Like', 'Like', 'Like', 'Dislike', 'Perfect']",5
73,73,Disgust,['Alien (1979)'],['Perfect'],1
74,74,Joy,"['Six Degrees of Separation (1993)', '13 Going on 30 (2004)', 'Animal House (1978)']","['Like', 'Like', 'Perfect']",3
75,75,Sadness,['Finding Nemo (2003)'],['Perfect'],1
76,76,Disgust,['Persuasion (1995)'],['Perfect'],1
77,77,Sadness,"['Alien Nation (1988)', 'National Treasure (2004)', 'Ghost Dog: The Way of the Samurai (1999)']","['Like', 'Like', 'Perfect']",3
78,78,Sadness,"['RoboCop 3 (1993)', 'Wolverine, The (2013)', 'Welcome to the Dollhouse (1995)', ""Bill & Ted's Excellent Adventure (1989)""]","['Like', 'Like', 'Like', 'Perfect']",4
79,79,Joy,['Double Indemnity (1944)'],['Perfect'],1
80,80,Sadness,['FLCL (2000)'],['Perfect'],1
81,81,Joy,"['L.A. Story (1991)', 'Finding Dory (2016)', 'Happy Feet (2006)', 'Robin Hood: Prince of Thieves (1991)', 'Million Dollar Baby (2004)']","['Like', 'Like', 'Dislike', 'Like', 'Perfect']",5
82,82,Fear,"['Wrestler, The (2008)']",['Perfect'],1
83,83,Anger,"['Flipper (1996)', 'Moon (2009)']","['Dislike', 'Perfect']",2
84,84,Disgust,"['Bedknobs and Broomsticks (1971)', 'Bedtime Stories (2008)', 'Bourne Identity, The (1988)', 'Little Big Man (1970)']","['Like', 'Like', 'Like', 'Perfect']",4
85,85,Sadness,"['Bananas (1971)', 'Austin Powers: International Man of Mystery (1997)', 'Waking Ned Devine (a.k.a. Waking Ned) (1998)', 'Gone Baby Gone (2007)', 'Sicko (2007)']","['Like', 'Like', 'Like', 'Like', 'Perfect']",5
86,86,Sadness,"['Iron Man 2 (2010)', 'Stand and Deliver (1988)']","['Like', 'Perfect']",2
87,87,Disgust,"['Excalibur (1981)', 'Godzilla (1998)', 'Fly Away Home (1996)', 'Red Sonja (1985)', ""European Vacation (aka National Lampoon's European Vacation) (1985)"", 'Narc (2002)', 'Enchanted (2007)']","['Like', 'Dislike', 'Like', 'Dislike', 'Dislike', 'Like', 'Perfect']",7
88,88,Disgust,"['Buffy the Vampire Slayer (1992)', 'Blade II (2002)', 'Déjà Vu (Deja Vu) (2006)', 'Lake House, The (2006)', 'Thirteen (2003)', 'How to Train Your Dragon (2010)']","['Dislike', 'Like', 'Like', 'Like', 'Like', 'Perfect']",6
89,89,Fear,"['Mosquito Coast, The (1986)', 'Freddy vs. Jason (2003)', 'In the Name of the Father (1993)']","['Like', 'Dislike', 'Perfect']",3
90,90,Disgust,['Army of Darkness (1993)'],['Perfect'],1
91,91,Joy,"['Spy Who Loved Me, The (1977)', '300 (2007)', 'Iron Man 3 (2013)', 'Hostage (2005)', 'Network (1976)']","['Like', 'Like', 'Like', 'Like', 'Perfect']",5
92,92,Fear,"['Red Sonja (1985)', 'Lock, Stock & Two Smoking Barrels (1998)']","['Dislike', 'Perfect']",2
93,93,Disgust,"['Out of Africa (1985)', 'Mummy Returns, The (2001)', 'Brüno (Bruno) (2009)', 'Hanna (2011)', 'Batman v Superman: Dawn of Justice (2016)', 'Vicky Cristina Barcelona (2008)', 'In the Line of Fire (1993)']","['Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Perfect']",7
94,94,Disgust,"['Armageddon (1998)', 'Lilo & Stitch (2002)']","['Dislike', 'Perfect']",2
95,95,Anger,"['Simon Birch (1998)', 'Maleficent (2014)', 'Mission to Mars (2000)', 'Spy Kids (2001)', 'Sin City (2005)']","['Dislike', 'Like', 'Dislike', 'Like', 'Perfect']",5
96,96,Sadness,"['Corrina, Corrina (1994)', 'Producers, The (1968)']","['Dislike', 'Perfect']",2
97,97,Joy,['Mad Max: Fury Road (2015)'],['Perfect'],1
98,98,Fear,"['Assassination of Jesse James by the Coward Robert Ford, The (2007)']",['Perfect'],1
99,99,Anger,['Die Hard (1988)'],['Perfect'],1
100,100,Fear,"['Imaginarium of Doctor Parnassus, The (2009)', 'Atonement (2007)', ""Charlie's Angels: Full Throttle (2003)"", 'Sweeney Todd: The Demon Barber of Fleet Street (2007)', 'Deep Impact (1998)', ""General's Daughter, The (1999)"", 'Diner (1982)']","['Like', 'Like', 'Dislike', 'Like', 'Like', 'Dislike', 'Perfect']",7
101,101,Anger,"['Silence of the Lambs, The (1991)']",['Perfect'],1
102,102,Disgust,"[""Cheech and Chong's Up in Smoke (1978)"", 'Swingers (1996)', ""Sophie's Choice (1982)""]","['Like', 'Like', 'Perfect']",3
103,103,Fear,"['American Pie (1999)', 'Wonder Boys (2000)', 'Walk the Line (2005)']","['Like', 'Like', 'Perfect']",3
104,104,Fear,"['Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)', 'Motorcycle Diaries, The (Diarios de motocicleta) (2004)']","['Dislike', 'Perfect']",2
105,105,Joy,"['Perfect Murder, A (1998)', 'Pink Panther, The (1963)', 'Darjeeling Limited, The (2007)', 'Munich (2005)']","['Like', 'Like', 'Like', 'Perfect']",4
106,106,Sadness,"[""Mary Shelley's Frankenstein (Frankenstein) (1994)"", 'Reality Bites (1994)', 'Dogma (1999)', 'Time Machine, The (2002)', 'Shall We Dance? (Shall We Dansu?) (1996)']","['Like', 'Like', 'Like', 'Like', 'Perfect']",5
107,107,Disgust,"['Pinocchio (1940)', 'Rise of the Guardians (2012)', 'Muppets Take Manhattan, The (1984)', 'Dazed and Confused (1993)']","['Like', 'Like', 'Like', 'Perfect']",4
108,108,Anger,['In Bruges (2008)'],['Perfect'],1
109,109,Joy,['Roman Holiday (1953)'],['Perfect'],1
110,110,Anger,"['Omen, The (1976)']",['Perfect'],1
111,111,Sadness,"['Age of Innocence, The (1993)', 'Gods Must Be Crazy, The (1980)']","['Like', 'Perfect']",2
112,112,Anger,"['Shanghai Noon (2000)', 'Lady in the Water (2006)', 'Fly, The (1986)', 'Six Degrees of Separation (1993)', 'Source Code (2011)']","['Like', 'Dislike', 'Like', 'Like', 'Perfect']",5
113,113,Sadness,"['Others, The (2001)', 'Wall Street (1987)']","['Like', 'Perfect']",2
114,114,Sadness,['Deliverance (1972)'],['Perfect'],1
115,115,Sadness,"['Fled (1996)', 'Lincoln Lawyer, The (2011)', 'American Psycho (2000)']","['Dislike', 'Like', 'Perfect']",3
116,116,Anger,"['Fatal Instinct (1993)', 'Hitch (2005)', 'Punch-Drunk Love (2002)']","['Like', 'Like', 'Perfect']",3
117,117,Joy,['Forgetting Sarah Marshall (2008)'],['Perfect'],1
118,118,Anger,"['Bio-Dome (1996)', 'Night at the Museum (2006)', 'Crow: City of Angels, The (1996)', ""St. Elmo's Fire (1985)"", 'Operation Dumbo Drop (1995)', 'All Quiet on the Western Front (1930)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Perfect']",6
119,119,Sadness,['City Lights (1931)'],['Perfect'],1
120,120,Anger,"['Master and Commander: The Far Side of the World (2003)', 'Jungle Book, The (1994)', 'Frankenstein (1931)']","['Like', 'Like', 'Perfect']",3
121,121,Sadness,"['Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)', 'Star Wars: Episode IV - A New Hope (1977)']","['Dislike', 'Perfect']",2
122,122,Sadness,['Juno (2007)'],['Perfect'],1
123,123,Joy,"['Benchwarmers, The (2006)', 'Lord of War (2005)']","['Like', 'Perfect']",2
124,124,Disgust,"['Bank Job, The (2008)', 'Animatrix, The (2003)', 'Expendables, The (2010)', 'Dan in Real Life (2007)', 'Misery (1990)']","['Like', 'Like', 'Like', 'Like', 'Perfect']",5
125,125,Anger,"['Da Vinci Code, The (2006)', 'Cool Hand Luke (1967)']","['Like', 'Perfect']",2
126,126,Sadness,"[""Nick and Norah's Infinite Playlist (2008)"", 'Broadcast News (1987)', 'Sydney (Hard Eight) (1996)', 'Departed, The (2006)']","['Dislike', 'Like', 'Like', 'Perfect']",4
127,127,Joy,"['Pacific Rim (2013)', 'Cell, The (2000)', 'Walk in the Clouds, A (1995)', 'Blue Streak (1999)', ""Buffalo '66 (a.k.a. Buffalo 66) (1998)"", 'Star Trek IV: The Voyage Home (1986)', 'The Revenant (2015)']","['Like', 'Like', 'Like', 'Dislike', 'Like', 'Like', 'Perfect']",7
128,128,Fear,"['Fly Away Home (1996)', 'Deadpool (2016)']","['Like', 'Perfect']",2
129,129,Sadness,"['Hackers (1995)', 'Dinosaur (2000)', 'Ref, The (1994)', 'Paper, The (1994)', 'My Girl (1991)', 'Honey, I Shrunk the Kids (1989)', 'Hobbit: The Desolation of Smaug, The (2013)', 'Confessions of a Dangerous Mind (2002)', 'Much Ado About Nothing (1993)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Dislike', 'Like', 'Like', 'Perfect']",9
130,130,Disgust,"[""You Don't Mess with the Zohan (2008)"", 'Perks of Being a Wallflower, The (2012)']","['Like', 'Perfect']",2
131,131,Sadness,"['Two Weeks Notice (2002)', 'Semi-Pro (2008)', 'Life of Pi (2012)', 'Rebecca (1940)']","['Like', 'Like', 'Like', 'Perfect']",4
132,132,Disgust,['Finding Forrester (2000)'],['Perfect'],1
133,133,Disgust,"['About Last Night... (1986)', 'Tenacious D in The Pick of Destiny (2006)', 'Six Days Seven Nights (1998)', 'Ides of March, The (2011)', 'Bambi (1942)', 'Serendipity (2001)', 'Living Daylights, The (1987)', 'New Guy, The (2002)', 'Transformers: Dark of the Moon (2011)', 'Scott Pilgrim vs. the World (2010)']","['Dislike', 'Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",10
134,134,Anger,"['Chain Reaction (1996)', 'American Pie (1999)', 'Memento (2000)']","['Like', 'Like', 'Perfect']",3
135,135,Joy,"['Elephant (2003)', 'Top Secret! (1984)']","['Like', 'Perfect']",2
136,136,Disgust,"['Beach, The (2000)', 'Philadelphia Story, The (1940)']","['Like', 'Perfect']",2
137,137,Disgust,['21 Jump Street (2012)'],['Perfect'],1
138,138,Anger,"['Spawn (1997)', 'Funny Farm (1988)', 'League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)', 'Princess Diaries, The (2001)', 'Gran Torino (2008)', 'Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)', ""Pete's Dragon (1977)"", 'Robin Hood (1973)', 'Casino Royale (2006)']","['Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",9
139,139,Anger,"['Freaks (1932)', ""Child's Play (1988)"", 'Few Good Men, A (1992)']","['Like', 'Dislike', 'Perfect']",3
140,140,Sadness,"['Fly II, The (1989)', 'Knowing (2009)', 'Waiting for Guffman (1996)']","['Dislike', 'Like', 'Perfect']",3
141,141,Anger,"['Hannibal (2001)', 'Saving Private Ryan (1998)']","['Like', 'Perfect']",2
142,142,Disgust,"['L.A. Story (1991)', 'Breakfast Club, The (1985)']","['Like', 'Perfect']",2
143,143,Joy,['Wild Tales (2014)'],['Perfect'],1
144,144,Disgust,"['Chitty Chitty Bang Bang (1968)', 'Universal Soldier (1992)', 'Out of Sight (1998)']","['Like', 'Dislike', 'Perfect']",3
145,145,Anger,"['In & Out (1997)', 'Breaking Away (1979)']","['Like', 'Perfect']",2
146,146,Anger,['Limitless (2011)'],['Perfect'],1
147,147,Sadness,"['Grosse Pointe Blank (1997)', 'Kiss Kiss Bang Bang (2005)']","['Like', 'Perfect']",2
148,148,Disgust,"[""Cheech and Chong's Up in Smoke (1978)"", 'Malice (1993)', 'Dead Poets Society (1989)']","['Like', 'Like', 'Perfect']",3
149,149,Sadness,"['Wizard of Oz, The (1939)', 'Shawshank Redemption, The (1994)']","['Like', 'Perfect']",2
150,150,Sadness,['Megamind (2010)'],['Perfect'],1
151,151,Joy,"['Bull Durham (1988)', 'Age of Innocence, The (1993)', 'Waiting... (2005)', 'Some Like It Hot (1959)']","['Like', 'Like', 'Like', 'Perfect']",4
152,152,Sadness,['Unbreakable (2000)'],['Perfect'],1
153,153,Fear,"['Dangerous Minds (1995)', 'How to Lose a Guy in 10 Days (2003)', 'Fight Club (1999)']","['Like', 'Like', 'Perfect']",3
154,154,Disgust,"['Lake House, The (2006)', 'Wild Wild West (1999)', 'Date Night (2010)', 'Death to Smoochy (2002)', 'Finding Nemo (2003)']","['Like', 'Dislike', 'Like', 'Like', 'Perfect']",5
155,155,Fear,"['Insider, The (1999)']",['Perfect'],1
156,156,Fear,"['What Women Want (2000)', ""European Vacation (aka National Lampoon's European Vacation) (1985)"", 'Fast & Furious (Fast and the Furious 4, The) (2009)', 'Half Baked (1998)', 'Pineapple Express (2008)', 'Full Metal Jacket (1987)']","['Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Perfect']",6
157,157,Anger,"['Sixteen Candles (1984)', 'Intolerable Cruelty (2003)', 'Road to Perdition (2002)', 'Mist, The (2007)', 'Shanghai Knights (2003)', 'Postman, The (Postino, Il) (1994)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",6
158,158,Joy,['You Can Count on Me (2000)'],['Perfect'],1
159,159,Sadness,['Paprika (Papurika) (2006)'],['Perfect'],1
160,160,Sadness,"['Airheads (1994)', 'Little Shop of Horrors, The (1960)', 'Beautiful Mind, A (2001)']","['Like', 'Dislike', 'Perfect']",3
161,161,Joy,"['Despicable Me (2010)', '8MM (1999)', 'Mad Max: Fury Road (2015)']","['Like', 'Like', 'Perfect']",3
162,162,Fear,"['Lord of the Rings: The Two Towers, The (2002)']",['Perfect'],1
163,163,Anger,"[""Smilla's Sense of Snow (1997)"", 'Space Cowboys (2000)', 'Doors, The (1991)', 'Go (1999)']","['Like', 'Like', 'Like', 'Perfect']",4
164,164,Fear,['Brazil (1985)'],['Perfect'],1
165,165,Anger,"['Blind Side, The  (2009)', 'EuroTrip (2004)', ""Once Upon a Time in the West (C'era una volta il West) (1968)""]","['Like', 'Like', 'Perfect']",3
166,166,Sadness,"['Wings of Desire (Himmel über Berlin, Der) (1987)', 'U-571 (2000)', 'Enter the Dragon (1973)']","['Like', 'Like', 'Perfect']",3
167,167,Anger,"['Others, The (2001)', 'Kingpin (1996)', 'Out of Africa (1985)', 'Julie & Julia (2009)', 'Straight Story, The (1999)', 'Big (1988)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",6
168,168,Disgust,"['Naked Gun 33 1/3: The Final Insult (1994)', 'Escape from the Planet of the Apes (1971)', 'My Cousin Vinny (1992)', 'Thirteen Days (2000)']","['Like', 'Like', 'Like', 'Perfect']",4
169,169,Joy,"['Spellbound (1945)', 'Hotel Transylvania (2012)', 'Invasion of the Body Snatchers (1956)']","['Like', 'Like', 'Perfect']",3
170,170,Anger,['Edge of Tomorrow (2014)'],['Perfect'],1
171,171,Fear,"['Die Hard: With a Vengeance (1995)', 'Rambo: First Blood Part II (1985)', 'Death Becomes Her (1992)', 'Mystery Science Theater 3000: The Movie (1996)', 'Up in the Air (2009)']","['Like', 'Dislike', 'Dislike', 'Like', 'Perfect']",5
172,172,Joy,"['Private Parts (1997)', 'Gosford Park (2001)', 'Escape from the Planet of the Apes (1971)', 'Man Who Would Be King, The (1975)']","['Like', 'Like', 'Like', 'Perfect']",4
173,173,Joy,"['Madagascar (2005)', 'Rescuers, The (1977)', 'Unbreakable (2000)']","['Like', 'Like', 'Perfect']",3
174,174,Anger,['Metropolis (2001)'],['Perfect'],1
