,userId,mood,recommendations,feedbacks,number of recs
11,11,Joy,"['Warcraft (2016)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Like', 'Perfect']",3
12,12,Fear,"['Splice (2009)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
13,13,Joy,"['Igor (2008)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Like', 'Perfect']",3
14,14,Anger,"['Harsh Times (2006)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
15,15,Disgust,['Idlewild (2006)'],['Perfect'],1
16,16,Joy,"['Wolverine, The (2013)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Like', 'Perfect']",3
17,17,Fear,"['Solo: A Star Wars Story (2018)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
18,18,Disgust,"['Patriot, The (1998)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
19,19,Joy,"['Your Highness (2011)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Perfect']",2
20,20,Sadness,"['Trigger Effect, The (1996)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Dislike', 'Like', 'Perfect']",3
21,21,Anger,"['Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
22,22,Joy,"['Limelight (1952)', 'Bird People in China, The (Chûgoku no chôjin) (1998)']","['Like', 'Perfect']",2
23,23,Anger,"['Snakes on a Plane (2006)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
24,24,Disgust,"['Olympus Has Fallen (2013)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
25,25,Fear,['Housebound (2014)'],['Perfect'],1
26,26,Disgust,"['Starsky & Hutch (2004)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",8
27,27,Fear,"['Neo Tokyo (1987)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
28,28,Fear,"['Cursed (2005)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
29,29,Fear,"['Chicken Little (2005)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
30,30,Fear,"['Wicker Man, The (2006)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
31,31,Disgust,"['Rush Hour (1998)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
32,32,Disgust,"['Green Lantern (2011)', 'Above the Law (1988)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",10
33,33,Anger,"['The Nice Guys (2016)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
34,34,Fear,"['Bug (2007)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
35,35,Anger,"['Robot Overlords (2014)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
36,36,Joy,"['Horton Hears a Who! (2008)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Perfect']",2
37,37,Anger,"['Tombstone (1993)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
38,38,Disgust,"['Cloverfield (2008)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
39,39,Disgust,['Making a Murderer (2015)'],['Perfect'],1
40,40,Joy,['Labyrinth (1986)'],['Perfect'],1
41,41,Joy,"['Broadcast News (1987)', 'Bird People in China, The (Chûgoku no chôjin) (1998)']","['Like', 'Perfect']",2
42,42,Anger,['The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980)'],['Perfect'],1
43,43,Disgust,"['Hoax, The (2007)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
44,44,Fear,"['Night Guards (2016)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
45,45,Fear,"['Cloverfield (2008)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
46,46,Fear,"['Independence Day: Resurgence (2016)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
47,47,Sadness,"['Headshot (2011)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Dislike', 'Like', 'Perfect']",3
48,48,Disgust,"['The Great Raid (2005)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
49,49,Disgust,"['Police Story 2 (Ging chaat goo si juk jaap) (1988)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
50,50,Disgust,['Merantau (2009)'],['Perfect'],1
51,51,Anger,"['Torque (2004)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",8
52,52,Fear,['Runaway Brain (1995) '],['Perfect'],1
53,53,Sadness,"[""Cassandra's Dream (2007)""]",['Perfect'],1
54,54,Anger,"['Man on a Ledge (2012)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
55,55,Sadness,"['Surviving the Game (1994)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
56,56,Sadness,['Gattaca (1997)'],['Perfect'],1
57,57,Disgust,['Sherlock Holmes: A Game of Shadows (2011)'],['Perfect'],1
58,58,Sadness,"['Transporter 2 (2005)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
59,59,Joy,"['Thing Called Love, The (1993)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Like', 'Perfect']",3
60,60,Disgust,"['Normal Life (1996)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
61,61,Disgust,"['Rob Roy (1995)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
62,62,Sadness,"['Cellular (2004)', 'Get the Gringo (2012)']","['Like', 'Perfect']",2
63,63,Fear,"['Underworld: Blood Wars (2016)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
64,64,Joy,"['Mortdecai (2015)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Dislike', 'Like', 'Perfect']",3
65,65,Sadness,"['Spy Game (2001)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
66,66,Anger,['Death Wish (2018)'],['Perfect'],1
67,67,Anger,"['Legend (2015)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
68,68,Fear,"['Abandoned, The (2006)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
69,69,Anger,"['Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)']",['Perfect'],1
70,70,Sadness,"['Saw VI (2009)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
71,71,Fear,['Delirium (2014)'],['Perfect'],1
72,72,Joy,"['Mansfield Park (1999)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Like', 'Perfect']",3
73,73,Disgust,"['Changeling (2008)', 'Above the Law (1988)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",10
74,74,Joy,"['Addicted to Love (1997)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Dislike', 'Like', 'Perfect']",3
75,75,Sadness,['Chapayev (1934)'],['Perfect'],1
76,76,Disgust,"['Staten Island (2009)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
77,77,Sadness,['Lucky Number Slevin (2006)'],['Perfect'],1
78,78,Sadness,"['Night to Remember, A (1958)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Dislike', 'Like', 'Perfect']",3
79,79,Joy,"['Ladyhawke (1985)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Perfect']",2
80,80,Sadness,"['People Under the Stairs, The (1991)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
81,81,Joy,"['Kung Fury (2015)', 'Bird People in China, The (Chûgoku no chôjin) (1998)']","['Like', 'Perfect']",2
82,82,Fear,"['Jupiter Ascending (2015)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Dislike', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
83,83,Anger,"['Italian Job, The (1969)']",['Perfect'],1
84,84,Disgust,"['Losers, The (2010)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
85,85,Sadness,"['Life (1999)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
86,86,Sadness,"['Teenage Mutant Ninja Turtles: Turtles Forever (2009)', 'Cradle 2 the Grave (2003)', 'Get the Gringo (2012)']","['Like', 'Like', 'Perfect']",3
87,87,Disgust,"[""'71 (2014)""]",['Perfect'],1
88,88,Disgust,['Darkman (1990)'],['Perfect'],1
89,89,Fear,"['Southland Tales (2006)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
90,90,Disgust,"['Jurassic Park (1993)', 'Above the Law (1988)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",10
91,91,Joy,"['Cheaper by the Dozen 2 (2005)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Dislike', 'Like', 'Perfect']",3
92,92,Fear,"['Cloud Atlas (2012)', 'Frankenstein Must Be Destroyed (1969)', ""Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"", 'Humanoids from the Deep (1980)', 'Tremors 3: Back to Perfection (2001)', 'Tremors II: Aftershocks (1996)', 'Resident Evil (2002)', 'Hidden, The (1987)', '28 Weeks Later (2007)', 'Carnosaur 3: Primal Species (1996)', 'Sharknado 3: Oh Hell No! (2015)', 'I Am Legend (2007)']","['Like', 'Like', 'Dislike', 'Dislike', 'Dislike', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Perfect']",12
93,93,Disgust,"['Alien: Covenant (2017)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
94,94,Disgust,"['Extraordinary Adventures of Adèle Blanc-Sec, The (2010)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
95,95,Anger,"['Natural Born Killers (1994)', 'Above the Law (1988)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Dislike', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",10
96,96,Sadness,['Little Miss Sunshine (2006)'],['Perfect'],1
97,97,Joy,"['Evening with Kevin Smith 2: Evening Harder, An (2006)', 'Nanny McPhee (2005)', 'Seven Brides for Seven Brothers (1954)']","['Like', 'Like', 'Perfect']",3
98,98,Fear,['Bone Tomahawk (2015)'],['Perfect'],1
99,99,Anger,"['Death Proof (2007)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
100,100,Fear,['I Am Legend (2007)'],['Perfect'],1
101,101,Anger,"['U.S. Marshals (1998)', 'Colors (1988)', 'Dead Pool, The (1988)', 'Black Rain (1989)', 'K-9 (1989)', 'Next of Kin (1989)', 'Brother (2000)', 'Tango & Cash (1989)', 'Harder They Come, The (1973)']","['Like', 'Like', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Dislike', 'Perfect']",9
